"","x"
"Number of MRMR features","16"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","273.145640125868"
"Ridge","274.159100631644"
"Elastic net","262.591987437151"
"Random forest","169.799977433808"
"KDPI","337.43542186731"
