"","x"
"Number of MRMR features","7"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.689871881069774"
"Ridge","0.706380409086237"
"Elastic net","0.685939165408358"
"Random forest","0.914402173913043"
"KDPI","0.545559994482743"
