"","x"
"Number of MRMR features","8"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","285.940889854324"
"Ridge","291.567518940465"
"Elastic net","282.913028962077"
"Random forest","216.616326994934"
"KDPI","335.607724431473"
