"","x"
"Number of MRMR features","87"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.847010869565217"
"Ridge","0.866304347826087"
"Elastic net","0.853903162055336"
"Random forest","0.9"
"KDPI","0.510218523550725"
