"Slide_number","scl_gloms_hc1_feat1","scl_gloms_hc1_feat2","scl_gloms_hc1_feat3","scl_gloms_hc1_feat4","scl_gloms_hc1_feat5","scl_gloms_hc1_feat6","scl_gloms_hc1_feat7","scl_gloms_hc1_feat8","scl_gloms_hc1_feat9","scl_gloms_hc1_feat10","scl_gloms_hc1_feat11","scl_gloms_hc1_feat12","scl_gloms_hc1_feat13","scl_gloms_hc1_feat14","scl_gloms_hc1_feat15","scl_gloms_hc1_feat16","scl_gloms_hc1_feat17","scl_gloms_hc1_feat18","scl_gloms_hc1_feat19","scl_gloms_hc1_feat20","scl_gloms_hc1_feat21","scl_gloms_hc1_feat22","scl_gloms_hc1_feat23","scl_gloms_hc1_feat24","scl_gloms_hc1_feat25","scl_gloms_hc1_feat26","scl_gloms_hc1_feat27","scl_gloms_hc1_feat46","scl_gloms_hc1_feat47","scl_gloms_hc1_feat48","scl_gloms_hc1_feat49","scl_gloms_hc1_feat50","scl_gloms_hc1_feat51","scl_gloms_hc1_feat52","scl_gloms_hc1_feat53","scl_gloms_hc1_feat54","scl_gloms_hc1_feat55","scl_gloms_hc1_feat56","scl_gloms_hc1_feat57","scl_gloms_hc1_feat58","scl_gloms_hc1_feat59","scl_gloms_hc2_feat1","scl_gloms_hc2_feat2","scl_gloms_hc2_feat3","scl_gloms_hc2_feat4","scl_gloms_hc2_feat5","scl_gloms_hc2_feat6","scl_gloms_hc2_feat7","scl_gloms_hc2_feat8","scl_gloms_hc2_feat9","scl_gloms_hc2_feat10","scl_gloms_hc2_feat11","scl_gloms_hc2_feat12","scl_gloms_hc2_feat13","scl_gloms_hc2_feat14","scl_gloms_hc2_feat15","scl_gloms_hc2_feat16","scl_gloms_hc2_feat17","scl_gloms_hc2_feat18","scl_gloms_hc2_feat19","scl_gloms_hc2_feat20","scl_gloms_hc2_feat21","scl_gloms_hc2_feat22","scl_gloms_hc2_feat23","scl_gloms_hc2_feat24","scl_gloms_hc2_feat25","scl_gloms_hc2_feat26","scl_gloms_hc2_feat27","scl_gloms_hc2_feat46","scl_gloms_hc2_feat47","scl_gloms_hc2_feat48","scl_gloms_hc2_feat49","scl_gloms_hc2_feat50","scl_gloms_hc2_feat51","scl_gloms_hc2_feat52","scl_gloms_hc2_feat53","scl_gloms_hc2_feat54","scl_gloms_hc2_feat55","scl_gloms_hc2_feat56","scl_gloms_hc2_feat57","scl_gloms_hc2_feat58","scl_gloms_hc2_feat59","scl_gloms_hc3_feat1","scl_gloms_hc3_feat2","scl_gloms_hc3_feat3","scl_gloms_hc3_feat4","scl_gloms_hc3_feat5","scl_gloms_hc3_feat6","scl_gloms_hc3_feat7","scl_gloms_hc3_feat8","scl_gloms_hc3_feat9","scl_gloms_hc3_feat10","scl_gloms_hc3_feat11","scl_gloms_hc3_feat12","scl_gloms_hc3_feat13","scl_gloms_hc3_feat14","scl_gloms_hc3_feat15","scl_gloms_hc3_feat16","scl_gloms_hc3_feat17","scl_gloms_hc3_feat18","scl_gloms_hc3_feat19","scl_gloms_hc3_feat20","scl_gloms_hc3_feat21","scl_gloms_hc3_feat22","scl_gloms_hc3_feat23","scl_gloms_hc3_feat24","scl_gloms_hc3_feat25","scl_gloms_hc3_feat26","scl_gloms_hc3_feat27","scl_gloms_hc3_feat46","scl_gloms_hc3_feat47","scl_gloms_hc3_feat48","scl_gloms_hc3_feat49","scl_gloms_hc3_feat50","scl_gloms_hc3_feat51","scl_gloms_hc3_feat52","scl_gloms_hc3_feat53","scl_gloms_hc3_feat54","scl_gloms_hc3_feat55","scl_gloms_hc3_feat56","scl_gloms_hc3_feat57","scl_gloms_hc3_feat58","scl_gloms_hc3_feat59","scl_gloms_hc4_feat1","scl_gloms_hc4_feat2","scl_gloms_hc4_feat3","scl_gloms_hc4_feat4","scl_gloms_hc4_feat5","scl_gloms_hc4_feat6","scl_gloms_hc4_feat7","scl_gloms_hc4_feat8","scl_gloms_hc4_feat9","scl_gloms_hc4_feat10","scl_gloms_hc4_feat11","scl_gloms_hc4_feat12","scl_gloms_hc4_feat13","scl_gloms_hc4_feat14","scl_gloms_hc4_feat15","scl_gloms_hc4_feat16","scl_gloms_hc4_feat17","scl_gloms_hc4_feat18","scl_gloms_hc4_feat19","scl_gloms_hc4_feat20","scl_gloms_hc4_feat21","scl_gloms_hc4_feat22","scl_gloms_hc4_feat23","scl_gloms_hc4_feat24","scl_gloms_hc4_feat25","scl_gloms_hc4_feat26","scl_gloms_hc4_feat27","scl_gloms_hc4_feat46","scl_gloms_hc4_feat47","scl_gloms_hc4_feat48","scl_gloms_hc4_feat49","scl_gloms_hc4_feat50","scl_gloms_hc4_feat51","scl_gloms_hc4_feat52","scl_gloms_hc4_feat53","scl_gloms_hc4_feat54","scl_gloms_hc4_feat55","scl_gloms_hc4_feat56","scl_gloms_hc4_feat57","scl_gloms_hc4_feat58","scl_gloms_hc4_feat59"
"H16-09934 - 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H17-01673 - 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H17-02019 - 1",0.162368881338545,1.45528633313986,15832.4106445312,1.49284930338997e-05,0.000133787661760599,1.4552863240242,6.23924556416208e-05,0.000559703722370654,6.09689974784851,7.93457069728813,9.0756636793837,771698.5,9.33792744909601e-05,0.000106850146659794,9.07566356658936,0.000531589029137363,0.000608991403870267,51.5596942901611,0.0328061824453423,2.12331134290187,3140.85498046875,2.19148485077341e-05,0.00280707094562014,2.12331140041351,7.97711764129229e-05,0.00845029868043096,7.69689989089966,219,2.47782230603809,1.24354043261459,50.0806811719359,97394,1281.41839764448,2.0865163508506,508.787543843308,245.229850871761,97362,123.876622893082,97362,93893.5,0.96382633557779,0.174692208844732,1.57771858388915,2912.46850585938,9.46328344248993e-05,0.000854668805813609,1.57771861553192,0.000347516787258082,0.00313856981428318,5.79379987716675,3.22965221441639,4.38689601749633,53844.76171875,0.000263129566544077,0.000357413730929025,4.38689613342285,0.0010671003537535,0.00144946204153319,17.7906970977783,0.363311474703095,2.37348311373433,6057.12890625,0.000142363434560926,0.000930048268416832,2.37348318099976,0.000527087305878037,0.00344341675689602,8.78759956359863,26,2.14659409988347,0.633837798549143,71,16672,586.676190233249,2.1827145167237,223.355850583812,102.32939253965,16662,51.6236379965612,16662,11796,0.707958228303925,0.198458335363495,1.71789303959533,20442.8876953125,1.67380526850045e-05,0.00014487765786314,1.71789303421974,8.93008022898736e-05,0.000774189658753838,9.19457459449768,5.67564483701004,6.64579344860527,587415.53125,6.4489205912523e-05,7.55516133082988e-05,6.64579343795776,0.000316649586956933,0.000371091297637429,32.5158944129944,0.0874453787326395,2.70714191952724,8775.77001953125,2.67522092900608e-05,0.000872524990928182,2.70714193582535,0.000113240486561828,0.00368383585267624,11.4445748329163,253,2.24072443009902,1.00588432923587,49.5746115853373,103143.5,1328.56284194721,1.58845838775992,461.823450619467,300.042456501371,103097.375,145.75550420971,103097.375,95193.25,0.924033273925762,0.219007557042693,1.97031791395638,20011.3828125,2.16366587997613e-05,0.000194522854563336,1.97031790018082,0.000111927439779681,0.00100819609564408,10.2891492843628,7.82081895114126,8.85128400387535,706090.625,9.84330940634814e-05,0.000111391635094575,8.85128402709961,0.000482567302882981,0.000546121554074547,43.475191116333,0.00792649059394059,1.38836764898777,751.243408203125,1.51891252794758e-05,0.00380229696106657,1.38836765289307,4.20976410276396e-05,0.00937755927016362,3.89999997615814,177,2.2463172137732,0.998826230676753,61.3749523049707,91328,1149.4133470106,1.32635843529366,393.342733191075,296.469069261009,91271.25,147.487501900286,91271.25,86930.5,0.952557185805704
"H17-03700 - 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H17-05601 - 2",0.185291573092921,1.62107852763417,19720.962890625,1.55784517526717e-05,0.000136018402507788,1.62107855081558,7.81617969115107e-05,0.000682893300720745,8.19379997253418,4.49010403166946,5.69368315247047,478610.203125,5.49078703532725e-05,6.98423590173391e-05,5.69368314743042,0.000330320414781155,0.000420159477009697,34.2565937042236,0.28754180297819,2.94174515890415,29687.861328125,2.86148990572818e-05,0.000291719727493218,2.94174516201019,0.000129780875700731,0.00131076067853423,13.1906986236572,232,2.38428135315063,1.25620441940886,53.5119866705871,106645.5,1265.17070632348,1.48085097632234,449.326658202726,302.52323032943,106604.75,155.274927587905,106604.75,86369.5,0.807080253146637,0.155248595120614,1.45068359375,619.44189453125,0.000363579848057644,0.00339738546545668,1.45068359375,0.000901478693300022,0.00842365336362316,3.59689998626709,0.437337943246789,1.55523920994179,1744.97839355469,0.00038978426080001,0.00138613119482357,1.55523920059204,0.00105185460924803,0.00374055248743285,4.19689989089966,1.51281817825814,2.47281627662843,6036.14453125,0.000619753440818691,0.00101303409621736,2.47281622886658,0.00165180442924786,0.00269999986591519,6.59069967269897,8,4.71785998733577,1.43577317885923,53.375,3990,710.873195746668,6.08860449200867,317.283534110161,52.1110435940777,3944,11.3137084989848,3944,1856,0.470588235294118,0.174617378287137,1.52428638391561,104974.5546875,2.53553724385471e-06,2.21334493429589e-05,1.52428638935089,1.49708318293192e-05,0.000130684788290643,9,2.65285947046504,4.36779368226746,1594816.875,7.26550031692931e-06,1.19622643928565e-05,4.36779356002808,5.52102535254002e-05,9.09007805461912e-05,33.1906929016113,4.32911585594067,15.5681656397679,2602530.25,2.58964879744527e-05,9.31277488730859e-05,15.5681657791138,9.93490781086516e-05,0.000357274546494586,59.7255859375,1421,2.56350561288887,1.45558816084495,48.4644616467277,601169,3099.45515703969,1.36922644906884,1029.90604349228,752.180944351961,601036,350.781983573843,601036,398515,0.663046805848568,0.198244084713943,1.74241852857742,2984.76293945312,0.000115729179569816,0.00101717368803453,1.74241852760315,0.000424667891989859,0.00373251592632768,6.39379978179932,4.48941088685574,6.16158343778487,67592.5703125,0.000409244382546128,0.000561675790666773,6.1615834236145,0.00164636009937899,0.00225958046091613,24.78759765625,0.62410477446699,3.95976463732617,9396.521484375,0.000263002438828998,0.00166867455499764,3.9597647190094,0.00082256234034215,0.00521892060522183,12.3844985961914,34,2.3264173788192,1.06545156506723,50.3823529411765,15056,692.385822331377,4.65529262109561,309.10662796966,66.3989684706248,14891.5,76.4002617796562,14891.5,11722,0.78716046066548
"H17-07256 - 1",0.172240055494829,1.52488318134228,17777.068359375,1.47846747383999e-05,0.000130872242752331,1.52488321065903,6.62016745622644e-05,0.000585389614760332,6.79534983634949,4.27043431312171,5.91434975875486,441418.5625,5.72645619144484e-05,7.93037971107027e-05,5.91434955596924,0.000317599611502288,0.000439703601860753,32.6736469268799,0.839227705966505,5.07772015784351,87053.62109375,4.90143756880598e-05,0.000296745520031354,5.07772016525269,0.00019616404468229,0.00118881533844437,20.2798480987549,205,2.50460050913103,1.20643874643306,57.0333285550459,103277,1288.18647096976,1.67933645159857,472.189303262174,281.15878324744,103228,138.992216008721,103228,80251,0.776932999621884,0.173353392885875,1.51114379115357,26134.31640625,1.01701356461295e-05,8.85336274739113e-05,1.5111438035965,4.52282439529428e-05,0.000394133835211496,6.79534983634949,10.6523040989252,12.1040473855287,1587563.4375,8.25122007292351e-05,9.376370876945e-05,12.1040472984314,0.000412409632050479,0.000468602990834678,61.8162860870361,0.00947103480517763,1.79864772003967,1479.43807983398,1.19438162795367e-05,0.00238668948427127,1.79864770174026,3.77790576489015e-05,0.00753571964512918,5.69689989089966,320.5,2.32474660755206,1.04210738187768,54.5529589878882,151536.5,1551.65293937051,1.7934519023608,588.948044900514,328.578946945686,151484.75,161.038827089639,151484.75,148818,0.983895570932032,0.216538491264972,1.91948611470244,33332.73828125,1.25111994847645e-05,0.000110951127844331,1.91948612531026,6.60788713759557e-05,0.000586023323060007,10.1271327336629,5.35890491417013,7.22449572303489,819337.75,4.72083882966644e-05,6.3718840260252e-05,7.22449588775635,0.000311410420087877,0.000426350886785582,48.1886329650879,0.489815141329702,3.2506981605632,76904.009765625,2.11256304950598e-05,0.00017464654212469,3.25069816907247,0.000101385779083584,0.000810686123262735,15.651164372762,224.666666666667,2.41531718679853,1.29966350592493,76.8460564882488,153231.666666667,1498.70714182464,1.2922586329353,502.970039298518,392.782254243553,153184.833333333,189.960956127643,153184.833333333,115194.333333333,0.755872491437595,0.208521990263335,1.77675701766556,19210.296875,1.92861624500883e-05,0.000164331946159529,1.77675700187683,0.000104104163314766,0.000887042189191281,9.59070014953613,6.16124926730782,7.34895516397581,567611.25,7.97706961598131e-05,9.51481175397665e-05,7.34895515441895,0.00036905976597269,0.000440203529396533,34,0.159464570347269,3.60334388222038,14690.8330078125,3.91132141157008e-05,0.000883822409522455,3.60334396362305,0.000141111086989558,0.00318861908265882,13,186,2.3690392296708,1.06940690082704,58.1290322580645,92126,1183.90367901872,1.63600567179118,439.690036341678,268.758259169288,92099,131.946959040366,92099,82726,0.898229079577411
"H17-14151 - 1",0.156259999340939,1.41842502557744,20449.43359375,1.08385937216157e-05,9.83855922286468e-05,1.4184250831604,5.34890118287129e-05,0.000485537906637997,7,4.64707949995415,5.94010607436927,608154,4.5390056507852e-05,5.80196121845809e-05,5.94010591506958,0.000331347563718785,0.000423543362232739,43.36279296875,0.697876569806981,6.49109530472637,91329.7109375,4.96003266108423e-05,0.000461342966802254,6.49109554290771,0.000198673472506648,0.00184790334044065,26,362,2.25821909868514,0.9461482181474,39.8259668508287,130868,1430.72810153011,1.37551211750838,480.563658926289,349.370720046283,130814,169.496312644258,130814,110952,0.848166098429832,0.173105833067397,1.48486729107402,27664.5625,9.29128002331378e-06,7.96987458733211e-05,1.48486733436584,4.87876442813302e-05,0.000418490676589138,7.79689979553223,3.78772455932872,5.38753815961622,605327.625,3.37115125567869e-05,4.79501762795179e-05,5.38753795623779,0.000268773449036921,0.000382294749868166,42.9534912109375,2.03118429821103,11.2613931049436,324609.65625,7.04660668847848e-05,0.000390681476047116,11.2613935470581,0.000219005963219513,0.00121422376409367,35,430,2.34002274228601,1.07859203583287,43.3279069767442,159813,1555.76973209045,1.21752198920206,499.479225535407,410.242467869312,159740.5,201.556443707464,159740.5,122829,0.768928355676863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H17-15066 - 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H17-16126 - 1",0.17719892796058,1.57684249864106,17405.1875,1.60535362687634e-05,0.000142855820480432,1.57684254646301,7.32385834530639e-05,0.000651729173862452,7.19378662109375,3.87548931523864,4.70039343219816,380666.0625,4.78538157672326e-05,5.80395772098962e-05,4.70039319992065,0.000193435412933703,0.000234608450843356,19,0.319293742809802,5.05843686995968,31362.30859375,5.14989907820385e-05,0.000815876914608863,5.05843687057495,0.00021780622687047,0.00345061271421371,21.393798828125,279,2.28501557983065,1.05274250524678,39.5627240143369,98224,1349.83870786126,1.263888088698,425.130365286773,336.367095384785,98179.5,135.915414872633,98179.5,81630,0.831436297801476,0.166308648336413,1.49569904798029,16608.3549804688,1.68550938058021e-05,0.000151500360800404,1.4956990480423,6.99599964659616e-05,0.000628868635085394,6.29534912109375,5.94555404566651,6.90912906229681,626969.328125,7.36683174613554e-05,8.5657292273245e-05,6.90912890434265,0.000367540403498285,0.000427291129295852,35.5705261230469,0.0710935651229851,2.49882003055564,7106.4453125,2.7737062433382e-05,0.000962319039794304,2.49881994724274,0.000100490374423404,0.00350225923972604,9.39688110351562,238.5,2.41275238100488,1.16376370461026,47.2024323028996,100803.5,1218.56610691236,1.25404518082451,402.058824429948,316.879221015844,100777,151.955560751449,100777,92579.5,0.925457933859849,0.256375097854136,2.08695697403462,76797.9296875,6.96690394636087e-06,5.67123285373037e-05,2.08695697784424,4.06962167901006e-05,0.000331277312647762,12.190673828125,9.57635126338244,10.9861008984581,2868624.75,3.6674982892886e-05,4.20739644389527e-05,10.9861011505127,0.000183606907625696,0.00021063596743185,55,0.010341685152544,1.88895293445122,3097.8828125,6.30590570117729e-06,0.0011518005917712,1.88895297050476,2.00298444682577e-05,0.00365853658536585,6,555,2.06013497214476,0.831617546639135,66.3045045045045,299553,2580.20223561605,3.15413027210678,1103.53235579331,349.868984661883,299409,173,299409,296668,0.990845298571519,0.197349564709365,1.74671275221457,15084.611328125,2.28519650928965e-05,0.000202259472422492,1.74671280384064,0.000112431060201713,0.000995111222507889,8.59378051757812,10.4415376916636,11.8147408662956,798109.375,0.000154570374360819,0.000174898465399153,11.8147411346435,0.000734888482327127,0.00083153623926984,56.1719360351562,0.00397423940785633,1.22489904588269,303.774963378906,1.60251590032656e-05,0.00493910908699036,1.22489905357361,3.6631793827107e-05,0.011290273358745,2.79998779296875,169,2.31653787515318,0.956254386961584,51.1005917159763,76436,1057.26911934581,1.13133916916371,333.834069200125,295.078680469356,76390,141.286942071799,76390,75972,0.99452807959157
"H17-16126 - 2",0.104166666666667,1,10,0.0104166666666667,0.1,1,0.0104166666666667,0.1,1,1.09375,1.22093023255814,105,0.0127180231114229,0.0141968630080999,1.22093021869659,0.0208333333333333,0.0232558139534884,2,0,0,0,0,0,0,0,0,0,2,0,0,5,96,76.2426406871193,16.3796268379401,47.8702712622013,2.92254956329772,93,4,93,178,1.91397849462366,0.184992484932141,1.61336780750238,32181.84765625,9.27420081249584e-06,8.08827290291379e-05,1.61336779594421,4.59333293175354e-05,0.000400596569311997,7.99069976806641,5.89808393164064,6.96272724496651,1026048.375,4.00241837048955e-05,4.72488146268381e-05,6.96272706985474,0.000202056727233361,0.000238529308168925,35.1503944396973,0.13812444582325,3.61168540038329,24028.54296875,2.07612280453319e-05,0.000542865701856316,3.61168551445007,8.16087295233038e-05,0.00213390942643356,14.1968994140625,471,2.42175810296055,1.26746713432989,42.3503184713376,173963,1593.952452254,1.43289540689853,563.997987277897,393.607226712142,173943,192.010416384112,173943,161462,0.92824660952151,0.153296801694514,1.36281361472979,26074.712890625,8.01216741404462e-06,7.12284321307214e-05,1.36281359195709,4.34691597055688e-05,0.000386442261109043,7.39379978179932,6.20589912577237,7.16512129892345,1055580,4.21247263467116e-05,4.86357847333814e-05,7.16512107849121,0.000287804289568852,0.000332289101598097,48.9534950256348,0.0432595060358524,2.02257810889397,7358.13916015625,1.18910125697256e-05,0.000555958768835167,2.02257800102234,5.52092054734568e-05,0.00258128075497435,9.39069938659668,546,2.39359045662927,1.0837246919386,35.0421245421245,170093,1605.0479066835,1.47647053139815,567.646176671776,384.461568721078,170030.5,190.073669928267,170030.5,158424,0.931738717465396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H18-01953 - 1",0.224695146629512,1.94815208862565,26457.853515625,1.65448158409945e-05,0.000143446879116199,1.9481520652771,8.32268133791136e-05,0.000721593201928475,9.79995727539062,6.59493099787686,7.66375656284541,776553.125,6.50849797923094e-05,7.56331554017096e-05,7.66375637054443,0.000303928642515924,0.000353185670853565,35.78759765625,0.0576922273089172,2.39115092067054,6793.259765625,2.03070144491337e-05,0.000841658201825237,2.3911509513855,7.81053028795117e-05,0.0032372050031899,9.1968994140625,188,2.43987375349667,1.2231000533868,72.2393617021277,117750,1304.25396744416,1.3275104111909,447.017088936094,336.733395962656,117699.5,170.293863659264,117699.5,98876,0.840071538111887,0.156679667323943,1.39148935107723,18504.025390625,1.17821981740928e-05,0.000104638997334827,1.39148938655853,6.09385137641722e-05,0.000541201640401752,7.1968994140625,4.9321438853185,5.74698217175106,582491.125,4.86615870960088e-05,5.67009560127248e-05,5.74698209762573,0.000231821033678271,0.000270120130021286,27.3782958984375,0.120554123165765,4.13042138091094,14237.5625,3.49736341068375e-05,0.00119826549511216,4.13042116165161,0.000135319635543677,0.00463631687767443,15.9813842773438,401,2.32670417335392,1.19919600866411,33.1620947630923,118101,1305.87633380825,1.08877751781109,406.964680184919,373.781303826968,118049,177.228665852903,118049,111828,0.947301544273988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H18-05054 - 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H18-09647 - 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H18-11055 - 1",0.143253184292445,1.31925050333879,13903.5810546875,1.35926729356185e-05,0.000125177954686345,1.31925046443939,5.76986472204971e-05,0.000531359702498583,5.59999990463257,3.72599388497362,4.55769188354654,361630.0625,4.69594054044453e-05,5.74414525292563e-05,4.55769205093384,0.000308940169286932,0.000377900271854717,29.9844970703125,0.196106600989377,2.65383746034927,19033.322265625,2.7343363031632e-05,0.000370027529614901,2.65383744239807,0.000144246620507748,0.00195203569436698,14,346,2.38955796756672,1.13364683989252,30.4595375722543,97056,1441.51176003293,2.84846909837536,605.980080964011,212.738864293678,97015.5,99.4585340732508,97015.5,80116,0.825806185609516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H18-11055 - 2",0.15196945724476,1.3254190426662,24613.03515625,8.87100943771441e-06,7.71957134874069e-05,1.32541900873184,5.23235032046605e-05,0.000455900201855077,8.1891496181488,3.13612594956259,4.26902605607035,474459.625,3.00982887808141e-05,4.04701583880657e-05,4.26902604103088,0.000165526404450521,0.000223833158362603,24.1968975067139,0.658491392904261,4.65107803482691,103019.8671875,3.46369840491876e-05,0.000276668167173399,4.65107810497284,0.000141375432084906,0.00109965785580728,19.6937971115112,554,2.44949188535857,1.27724296619343,32.7421478710867,160690,1501.08596590638,1.25342401177459,500.810628061123,401.554997403924,160638.75,198.091152306237,160638.75,100240,0.653121271402085,0.0571428571428571,1,10,0.00571428571428571,0.1,1,0.00571428571428571,0.1,1,0.321125161307199,1.19567879210127,56.1969032287598,0.00683245045798165,0.0254399751095062,1.19567883014679,0.0125537136622838,0.0467425508702055,2.19689989089966,0.715428553989955,1.06101692329019,125.199996948242,0.00606295381273542,0.00899166879007372,1.0610169172287,0.00799999986376081,0.0118644065776114,1.39999997615814,2,2.56653118100324,0.834480373434365,5,175,117.604076400856,10.2498834221658,83.3453254442173,8.1313437442595,154,3,154,4,0.025974025974026,0.151704453831375,1.36380404032064,4626.07244873047,0.00011812031326659,0.00107601384082759,1.36380404233932,0.000360256979113299,0.00327394090289222,5.39689993858337,1.1048651606482,2.20149915659487,28996.4367675781,0.000200803179988707,0.000371041050768573,2.20149922370911,0.00075691987383739,0.00140519763782371,8.99224948883057,1.2795964150392,3.20524204697173,47114.9252929688,0.000238528584014166,0.00068352522424486,3.20524203777313,0.000886094145532628,0.00251472757606546,13.4922494888306,98,2.18849842247834,0.80256796626973,32.1334900731452,28903,675.726965775206,3.62020736273559,248.39864822331,140.56697073636,28873.5,81.0202569774443,28873.5,5042,0.160843129516648,0.196521781341374,1.73952713199321,22045.02734375,1.55071236831862e-05,0.000137262456110242,1.73952710628509,8.1986337666368e-05,0.000725708152297207,9.1968994140625,1.00196552181393,2.99731951185365,112396.484375,2.67197926465123e-05,7.9930650415082e-05,2.99731945991516,0.000153164655467512,0.000458182841988417,17.1813983917236,3.4065486378548,6.16303786852461,382133,5.49407874852644e-05,9.93974223751213e-05,6.16303777694702,0.000256628865029941,0.000464286168047201,28.7875995635986,276,2.50795921025084,1.19040161970264,45.9166666666667,112176,1289.58491988585,1.31993153606792,435.817458834034,330.181866956779,112127.5,165.680415257809,112127.5,9268,0.0826559051080243
