"","x"
"Number of MRMR features","70"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","341.612682175704"
"Ridge","315.903200231905"
"Elastic net","306.913404680967"
"Random forest","164.924899516278"
"KDPI","336.478488661422"
