"","x"
"Number of MRMR features","89"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","313.647369423413"
"Ridge","444.800168226261"
"Elastic net","307.14953145756"
"Random forest","184.946294594589"
"KDPI","331.942991413065"
