"","x"
"Number of MRMR features","11"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.779619565217391"
"Ridge","0.762445252331389"
"Elastic net","0.778206121896607"
"Random forest","0.9125"
"KDPI","0.520239075537989"
