"","x"
"Number of MRMR features","42"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","335.360463806317"
"Ridge","321.584444092088"
"Elastic net","315.0517906466"
"Random forest","175.495575781749"
"KDPI","345.512057326041"
