"","x"
"Number of MRMR features","93"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","370.296925379384"
"Ridge","344.3936829184"
"Elastic net","352.605743672729"
"Random forest","188.489619587459"
"KDPI","340.969106502916"
