"","x"
"Number of MRMR features","14"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","255.916110637779"
"Ridge","256.205433444404"
"Elastic net","251.442953436407"
"Random forest","192.521427454478"
"KDPI","330.558759082452"
