"","x"
"Number of MRMR features","11"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.807208694514595"
"Ridge","0.818764917201841"
"Elastic net","0.807965366660658"
"Random forest","0.932608695652174"
"KDPI","0.531918967419744"
