"","x"
"Number of MRMR features","69"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.822241494500976"
"Ridge","0.344548004462154"
"Elastic net","0.331521739130435"
"Random forest","0.903532608695652"
"KDPI","0.529855278326746"
