"","x"
"Number of MRMR features","22"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.721007923642877"
"Ridge","0.740285326086956"
"Elastic net","0.741088191699605"
"Random forest","0.906657608695652"
"KDPI","0.536275160782061"
