"","x"
"Number of MRMR features","88"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","375.599367651802"
"Ridge","374.943120117265"
"Elastic net","360.531894709601"
"Random forest","182.828102565065"
"KDPI","341.274018524162"
