"","x"
"Number of MRMR features","76"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","356.73588239931"
"Ridge","372.253301115034"
"Elastic net","347.632467815096"
"Random forest","177.683148187659"
"KDPI","336.904925923959"
