"","x"
"Number of MRMR features","15"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.719769785051295"
"Ridge","0.736773326819736"
"Elastic net","0.744958962826279"
"Random forest","0.914945652173913"
"KDPI","0.49358805445762"
