"","x"
"Number of MRMR features","48"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","338.872811746782"
"Ridge","340.693720308276"
"Elastic net","328.610564786166"
"Random forest","189.909135908936"
"KDPI","333.510120319383"
