"","x"
"Number of MRMR features","52"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.813353075784089"
"Ridge","0.788554273121171"
"Elastic net","0.790176303600777"
"Random forest","0.895516304347826"
"KDPI","0.543029036997654"
