"","x"
"Number of MRMR features","23"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","267.252588358567"
"Ridge","265.145014628319"
"Elastic net","275.636141730004"
"Random forest","155.721836422398"
"KDPI","334.887010871771"
