"","x"
"Number of MRMR features","40"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.694866838487972"
"Ridge","0.338532059727712"
"Elastic net","0.750680720245938"
"Random forest","0.901086956521739"
"KDPI","0.512295116185786"
