"","x"
"Number of MRMR features","22"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","277.490580883923"
"Ridge","280.579694210071"
"Elastic net","263.284918719295"
"Random forest","172.542342972289"
"KDPI","334.57156340734"
