"","x"
"Number of MRMR features","17"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","270.582108231911"
"Ridge","281.413187640646"
"Elastic net","271.200878590502"
"Random forest","186.762263914877"
"KDPI","335.644987791671"
