"","x"
"Number of MRMR features","13"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","264.430956798819"
"Ridge","264.423327603656"
"Elastic net","253.353320068595"
"Random forest","150.994876060058"
"KDPI","331.120957320568"
