"","x"
"Number of MRMR features","49"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","353.17597360193"
"Ridge","345.319333029306"
"Elastic net","331.440670839759"
"Random forest","167.785061704707"
"KDPI","335.879249172345"
