"","x"
"Number of MRMR features","34"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.801624328285296"
"Ridge","0.776968125042659"
"Elastic net","0.808224169135858"
"Random forest","0.919293478260869"
"KDPI","0.524490229112248"
