"","x"
"Number of MRMR features","89"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","367.950828529119"
"Ridge","355.853241410846"
"Elastic net","355.686339942194"
"Random forest","177.443973398978"
"KDPI","340.436403697327"
