"","x"
"Number of MRMR features","43"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","293.353715070046"
"Ridge","306.138721317199"
"Elastic net","307.667231594791"
"Random forest","166.576915811746"
"KDPI","338.181347962414"
