"","x"
"Number of MRMR features","80"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","338.45550229713"
"Ridge","358.893441477232"
"Elastic net","292.869464823125"
"Random forest","179.978319809295"
"KDPI","335.07858734925"
