"","x"
"Number of MRMR features","14"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","259.784487048047"
"Ridge","269.372452465308"
"Elastic net","249.461295198744"
"Random forest","173.012594393991"
"KDPI","337.541509046321"
