"","x"
"Number of MRMR features","48"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.700494268283476"
"Ridge","0.326473978919631"
"Elastic net","0.782467059127482"
"Random forest","0.900679347826087"
"KDPI","0.522306199090694"
