"","x"
"Number of MRMR features","92"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","366.150107515577"
"Ridge","339.154308383724"
"Elastic net","331.007553636965"
"Random forest","179.004787679419"
"KDPI","348.371759908875"
