"","x"
"Number of MRMR features","9"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","276.982631042328"
"Ridge","278.702093355487"
"Elastic net","273.939823808992"
"Random forest","160.819864893048"
"KDPI","336.367931896265"
