"","x"
"Number of MRMR features","95"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","340.284142295663"
"Ridge","323.744323643052"
"Elastic net","328.932415135215"
"Random forest","177.443536124417"
"KDPI","334.51004354625"
