"","x"
"Number of MRMR features","50"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.694530196747556"
"Ridge","0.72140308633562"
"Elastic net","0.714945652173913"
"Random forest","0.899864130434783"
"KDPI","0.529116099956914"
