"","x"
"Number of MRMR features","27"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.782376291862899"
"Ridge","0.775734449298114"
"Elastic net","0.801828585132427"
"Random forest","0.907608695652174"
"KDPI","0.522996434105435"
