"","x"
"Number of MRMR features","91"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.770487298485589"
"Ridge","0.743974526955538"
"Elastic net","0.757772030800342"
"Random forest","0.933152173913044"
"KDPI","0.520930378746516"
