"","x"
"Number of MRMR features","51"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","340.430288090212"
"Ridge","354.495015985361"
"Elastic net","324.42667224814"
"Random forest","182.022192511115"
"KDPI","335.723636500758"
