"","x"
"Number of MRMR features","12"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","264.246049488544"
"Ridge","263.533440493503"
"Elastic net","260.793118467767"
"Random forest","195.525288670704"
"KDPI","332.601211476617"
