"","x"
"Number of MRMR features","39"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","315.303615746786"
"Ridge","308.644157886309"
"Elastic net","294.407593796198"
"Random forest","183.715259426793"
"KDPI","332.229144145502"
