column_name,feature_name,cluster,importance,tissue
arteries_cluster5_feat15,Max Distance Transform By Object Area Eosinophilic,5,0.35862038080070807,arteries
glomeruli_cluster1_feat21,Mean Distance Transform By Object Area Luminal Space,1,0.35154622945247294,glomeruli
glomeruli_cluster5_feat42,Eosinophilic Area,5,0.3512109342459383,glomeruli
arteries_cluster0_feat9,Sum Distance Transform By Object Area Eosinophilic,0,0.35113442284377433,arteries
glomeruli_cluster0_feat43,Luminal Space Area By Object Area,0,0.3396565395174206,glomeruli
arteries_cluster5_feat12,Mean Distance Transform By Object Area Eosinophilic,5,0.33300008019574484,arteries
tubules_cluster2_feat16,Max Distance Transform By Eosinophilic Area,2,0.32809049760025377,tubules
tubules_cluster2_feat13,Mean Distance Transform By Eosinophilic Area,2,0.3272444185102453,tubules
scl_gloms_cluster3_feat21,Mean Distance Transform By Object Area Luminal Space,3,0.3242049069666027,scl_gloms
arteries_cluster0_feat24,Max Distance Transform By Object Area Luminal Space,0,0.3184891488283403,arteries
tubules_cluster1_feat16,Max Distance Transform By Eosinophilic Area,1,0.3139785736072082,tubules
glomeruli_cluster5_feat9,Sum Distance Transform By Object Area Eosinophilic,5,0.31386112731849786,glomeruli
glomeruli_cluster7_feat9,Sum Distance Transform By Object Area Eosinophilic,7,0.3124446940504263,glomeruli
glomeruli_cluster7_feat41,Eosinophilic Area By Object Area,7,0.29142210643010524,glomeruli
tubules_cluster0_feat15,Max Distance Transform By Object Area Eosinophilic,0,0.29120839656473163,tubules
arteries_cluster5_feat25,Max Distance Transform By Luminal Space Area,5,0.28858331680551363,arteries
tubules_cluster2_feat27,Contrast Nuclei,2,0.2801865629624724,tubules
tubules_cluster6_feat12,Mean Distance Transform By Object Area Eosinophilic,6,0.27905726219912247,tubules
glomeruli_cluster1_feat9,Sum Distance Transform By Object Area Eosinophilic,1,0.27880694679228957,glomeruli
scl_gloms_cluster7_feat13,Mean Distance Transform By Eosinophilic Area,7,0.2784868964400743,scl_gloms
tubules_cluster4_feat2,Sum Distance Transform Nuclei,4,0.2677748576112419,tubules
tubules_cluster4_feat13,Mean Distance Transform By Eosinophilic Area,4,0.25680473773772017,tubules
scl_gloms_cluster7_feat58,Mesangial Fraction,7,0.2523003811266239,scl_gloms
tubules_cluster1_feat57,Average Cell Thickness,1,0.2515125818040627,tubules
arteries_cluster5_feat43,Luminal Space Area By Object Area,5,0.25123529942500294,arteries
glomeruli_cluster7_feat17,Max Distance Transform Eosinophilic,7,0.24307267878086616,glomeruli
glomeruli_cluster0_feat27,Contrast Nuclei,0,0.24216486968360446,glomeruli
scl_gloms_cluster7_feat12,Mean Distance Transform By Object Area Eosinophilic,7,0.24141778141701015,scl_gloms
scl_gloms_cluster6_feat18,Sum Distance Transform By Object Area Luminal Space,6,0.2406291168290785,scl_gloms
