"","x"
"Number of MRMR features","95"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.697185338438735"
"Ridge","0.322960915253931"
"Elastic net","0.692391304347826"
"Random forest","0.915625"
"KDPI","0.539243829603285"
