"","x"
"Number of MRMR features","19"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","306.699656930746"
"Ridge","299.832587169409"
"Elastic net","299.038372103637"
"Random forest","164.919498814279"
"KDPI","338.405662558904"
