"","x"
"Number of MRMR features","78"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","373.409460824899"
"Ridge","445.681187831748"
"Elastic net","410.99194666227"
"Random forest","177.134700678661"
"KDPI","339.926282163326"
