"","x"
"Number of MRMR features","93"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.727445652173913"
"Ridge","0.694929469323374"
"Elastic net","0.812771739130435"
"Random forest","0.903532608695652"
"KDPI","0.530322769088548"
