"Number of MRMR features","Outcome","Number of training subjects","Lasso","Ridge","Elastic net","Random forest","KDPI"
"64","1_yr_eGFR","112",311.708526733946,297.870695446154,308.288265059614,173.497207848407,340.575173239762
"65","1_yr_eGFR","112",323.304696419484,291.807305132559,305.844746008585,168.349350500772,339.325612031902
"66","1_yr_eGFR","112",324.722499574452,303.380993437214,313.185490645911,168.494165962268,339.377707944363
"67","1_yr_eGFR","112",324.291641857088,295.523019617223,311.49915169463,168.903135765718,339.510465457788
"68","1_yr_eGFR","112",333.357697484983,297.947975387279,313.834929354454,176.832983116056,340.999836561257
"69","1_yr_eGFR","112",325.155429522962,290.962502800137,327.326888216084,165.892898221746,329.591465446189
"70","1_yr_eGFR","112",316.142147955874,291.999521201035,309.947564643308,188.64206150428,338.640501469166
"71","1_yr_eGFR","112",324.217566559731,297.656657227009,314.378053571906,164.248723769708,335.337529346949
"72","1_yr_eGFR","112",325.36269419284,294.060017422262,313.597014497122,163.601721171571,334.817429227618
"73","1_yr_eGFR","112",337.471540437408,309.126965486078,326.339725849577,175.712311588179,339.971432171335
"74","1_yr_eGFR","112",320.305541852688,301.81518991115,314.729655441335,163.19872792574,333.600088719241
"75","1_yr_eGFR","112",321.158589782367,304.710094661785,314.780479214817,171.877393395016,342.937880442704
"76","1_yr_eGFR","112",327.903871626855,307.763156566746,322.524058739893,164.625237623785,339.461302389647
"77","1_yr_eGFR","112",332.956426089621,301.247342575922,316.903780659448,166.98103860325,334.556043281966
"78","1_yr_eGFR","112",330.306530506715,304.191659363509,318.948936363447,175.406004261745,337.735923961259
"79","1_yr_eGFR","112",337.054425758032,314.060375185756,319.236942941402,164.659237380209,329.469727818502
"80","1_yr_eGFR","112",324.908940478337,291.200542896777,312.246316447239,164.726593834507,346.414251021119
"81","1_yr_eGFR","112",327.590799215162,314.510217207383,331.413563899209,169.244493542337,338.096784910697
"82","1_yr_eGFR","112",332.933200468553,309.682741292805,321.918408534632,188.664429978455,341.089654624137
"83","1_yr_eGFR","112",331.915004175296,301.718477847501,319.952798745807,162.063139868089,321.956363941147
"84","1_yr_eGFR","112",327.224207300993,299.681188257476,305.591113670029,171.001544593358,341.331604195512
"85","1_yr_eGFR","112",332.443070923877,319.034875539882,318.183781048381,171.565017199529,350.720003623188
"86","1_yr_eGFR","112",331.125179356667,313.191477161178,318.460369849644,188.472396577329,340.455609899169
"87","1_yr_eGFR","112",323.6789685192,305.29797867192,314.6107661747,161.82874107525,339.544708660234
"88","1_yr_eGFR","112",334.936787582473,312.908137232285,317.14049181706,172.112132366787,333.251975259098
"89","1_yr_eGFR","112",323.863063269459,311.482836084263,321.503316978034,169.211287663239,327.597152068786
"90","1_yr_eGFR","112",321.676624570096,311.622171099301,314.369742380016,176.636699835387,329.713927891269
"91","1_yr_eGFR","112",326.850060901217,275.441472129945,315.952042702238,169.631330090587,333.894562739274
"92","1_yr_eGFR","112",340.52189992176,270.190556679146,321.04203022209,166.945380928657,331.278764602749
"93","1_yr_eGFR","112",321.987170874385,268.317495736339,310.621759452224,167.27052645928,330.001806064852
"94","1_yr_eGFR","112",331.006489985463,281.331510913179,317.453093087342,193.195648559386,331.929999814953
"95","1_yr_eGFR","112",328.487336817995,276.648697170001,320.22897954187,169.352288702772,339.686399022037
"96","1_yr_eGFR","112",330.254221060905,284.748763334771,325.364936370215,173.303560704352,334.774549036268
"97","1_yr_eGFR","112",323.204502101267,275.755086047799,325.678032831491,187.459953437557,334.887771313071
"98","1_yr_eGFR","112",326.335271262543,269.879907552058,326.505601145604,189.317880551833,331.272069066853
"99","1_yr_eGFR","112",320.064598035054,276.847879406132,316.288945509931,191.171217086352,340.843870153846
"100","1_yr_eGFR","112",328.291683111475,273.318171060378,328.686144760008,176.683908555111,329.971916436445
