"","x"
"Number of MRMR features","78"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","352.447389463698"
"Ridge","337.902057836156"
"Elastic net","311.023712964727"
"Random forest","174.134577139727"
"KDPI","338.728288058095"
