"","x"
"Number of MRMR features","68"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","318.222876410216"
"Ridge","306.256683116729"
"Elastic net","287.727624336351"
"Random forest","174.535603860454"
"KDPI","340.559270963607"
