"","x"
"Number of MRMR features","75"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.813315217391304"
"Ridge","0.81304347826087"
"Elastic net","0.314797631671969"
"Random forest","0.90054347826087"
"KDPI","0.534881080358565"
