"","x"
"Number of MRMR features","60"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.84570569828722"
"Ridge","0.856732892770799"
"Elastic net","0.79204889313585"
"Random forest","0.921739130434783"
"KDPI","0.534622241243647"
