"","x"
"Number of MRMR features","13"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.753838315217391"
"Ridge","0.760732234689107"
"Elastic net","0.753400180082921"
"Random forest","0.920186126694717"
"KDPI","0.516061898141356"
