"","x"
"Number of MRMR features","92"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.800888058292835"
"Ridge","0.736415066457974"
"Elastic net","0.809782608695652"
"Random forest","0.933967391304348"
"KDPI","0.518828440161363"
