"","x"
"Number of MRMR features","98"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.785654193027325"
"Ridge","0.768184148528262"
"Elastic net","0.774677835051546"
"Random forest","0.936820652173913"
"KDPI","0.543071288287019"
