"","x"
"Number of MRMR features","3"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.692079607762838"
"Ridge","0.684628897672376"
"Elastic net","0.692537860283341"
"Random forest","0.899181865909621"
"KDPI","0.522669631093544"
