"","x"
"Number of MRMR features","18"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","260.674438037493"
"Ridge","266.146352348558"
"Elastic net","259.957579798693"
"Random forest","154.694091303177"
"KDPI","338.246082671651"
