"","x"
"Number of MRMR features","74"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.829619565217391"
"Ridge","0.835001516736165"
"Elastic net","0.836794899119068"
"Random forest","0.893885869565217"
"KDPI","0.529107896172391"
