"","x"
"Number of MRMR features","65"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","299.827011907559"
"Ridge","335.497261186428"
"Elastic net","292.679188350054"
"Random forest","168.401317819049"
"KDPI","330.467725491346"
