"","x"
"Number of MRMR features","74"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","366.505008425514"
"Ridge","371.875059932729"
"Elastic net","347.74939406295"
"Random forest","170.684932304653"
"KDPI","335.815146255899"
