"","x"
"Number of MRMR features","85"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","394.991548418681"
"Ridge","374.438183445868"
"Elastic net","373.372595489413"
"Random forest","174.765842602892"
"KDPI","332.821041896019"
