"","x"
"Number of MRMR features","89"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.752717391304348"
"Ridge","0.797498859723507"
"Elastic net","0.796983383308346"
"Random forest","0.905434782608696"
"KDPI","0.52938482427656"
