"","x"
"Number of MRMR features","45"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","309.638747731489"
"Ridge","308.523736476373"
"Elastic net","302.094755488644"
"Random forest","194.932703256379"
"KDPI","339.966591637922"
