"","x"
"Number of MRMR features","64"
"Outcome","DGF"
"Number of training subjects","112"
"Lasso","0.627769296531509"
"Ridge","0.817918942693339"
"Elastic net","0.665222087763449"
"Random forest","0.897961956521739"
"KDPI","0.523094073925997"
