"","x"
"Number of MRMR features","49"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","297.142192373677"
"Ridge","318.071028186628"
"Elastic net","291.040811189527"
"Random forest","160.147580557932"
"KDPI","334.236389861493"
