"","x"
"Number of MRMR features","8"
"Outcome","1_yr_eGFR"
"Number of training subjects","112"
"Lasso","272.402208470619"
"Ridge","271.432534691271"
"Elastic net","268.371750082054"
"Random forest","159.537709487296"
"KDPI","331.957582169426"
